                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
0,4.5451,5.1218,4.0164,0.01274,0.01911,0.00722,0.00238,3.3978,3.4144,3.1392,0.0033313,0.0033313,0.0033313
1,2.8034,2.9467,2.2675,0.29078,0.11414,0.06915,0.0301,2.4759,2.3707,1.8349,0.0066481,0.0066481,0.0066481
2,2.2807,2.3841,1.6946,0.44528,0.12513,0.10141,0.05068,2.0501,2.0688,1.5226,0.0099485,0.0099485,0.0099485
3,2.0607,2.1079,1.516,0.30256,0.17633,0.15547,0.08299,1.838,1.7338,1.397,0.0099258,0.0099258,0.0099258
4,1.915,1.8909,1.4193,0.27006,0.21846,0.18978,0.10123,1.7349,1.5707,1.3293,0.0099258,0.0099258,0.0099258
5,1.8154,1.7282,1.3602,0.29608,0.24567,0.21712,0.12093,1.6545,1.4791,1.2857,0.009901,0.009901,0.009901
6,1.749,1.628,1.3176,0.35271,0.26639,0.25081,0.14023,1.6069,1.3952,1.2566,0.0098763,0.0098763,0.0098763
7,1.6967,1.5457,1.2911,0.35487,0.27632,0.25832,0.14663,1.5628,1.3346,1.2313,0.0098515,0.0098515,0.0098515
8,1.6658,1.4951,1.2714,0.37042,0.29853,0.28056,0.15797,1.5648,1.3082,1.2306,0.0098268,0.0098268,0.0098268
9,1.6359,1.4469,1.2522,0.38674,0.2982,0.29315,0.16836,1.5228,1.2803,1.2048,0.009802,0.009802,0.009802
10,1.6062,1.406,1.2371,0.41792,0.31896,0.30722,0.17707,1.4925,1.2487,1.1915,0.0097773,0.0097773,0.0097773
11,1.5884,1.3634,1.2275,0.39462,0.32274,0.30966,0.17556,1.4883,1.2245,1.1874,0.0097525,0.0097525,0.0097525
12,1.5732,1.3486,1.2169,0.41426,0.32943,0.32049,0.18468,1.4733,1.2054,1.1806,0.0097278,0.0097278,0.0097278
13,1.5525,1.3125,1.2074,0.43555,0.33439,0.33721,0.1968,1.4527,1.1772,1.168,0.009703,0.009703,0.009703
14,1.5384,1.2876,1.1963,0.4201,0.34408,0.3401,0.1985,1.4335,1.1636,1.1576,0.0096783,0.0096783,0.0096783
15,1.5195,1.2676,1.1924,0.43436,0.35379,0.34631,0.20454,1.426,1.1463,1.1511,0.0096535,0.0096535,0.0096535
16,1.5159,1.2602,1.186,0.44237,0.35161,0.35026,0.2063,1.4237,1.1385,1.152,0.0096288,0.0096288,0.0096288
17,1.5014,1.2369,1.1781,0.46039,0.35553,0.35912,0.21169,1.408,1.128,1.1432,0.009604,0.009604,0.009604
18,1.4883,1.2186,1.1703,0.45265,0.36851,0.36408,0.21552,1.4,1.1162,1.1378,0.0095793,0.0095793,0.0095793
19,1.4838,1.2062,1.1671,0.4675,0.35517,0.36356,0.21657,1.3933,1.0981,1.1342,0.0095545,0.0095545,0.0095545
20,1.4677,1.194,1.1599,0.46353,0.3716,0.3697,0.2189,1.3841,1.0895,1.13,0.0095298,0.0095298,0.0095298
21,1.4691,1.1847,1.1564,0.45537,0.38034,0.37874,0.22368,1.375,1.0845,1.1229,0.009505,0.009505,0.009505
22,1.465,1.177,1.1562,0.46451,0.38032,0.3797,0.22502,1.3742,1.0761,1.1227,0.0094803,0.0094803,0.0094803
23,1.4504,1.1558,1.1488,0.48225,0.37623,0.38296,0.23098,1.3659,1.0676,1.1181,0.0094555,0.0094555,0.0094555
24,1.4441,1.1514,1.1471,0.49355,0.37876,0.3888,0.23311,1.3597,1.0617,1.1151,0.0094307,0.0094307,0.0094307
25,1.4397,1.1428,1.1397,0.48897,0.38708,0.39116,0.23515,1.3575,1.0621,1.1077,0.009406,0.009406,0.009406
26,1.439,1.1405,1.1346,0.48229,0.38259,0.39066,0.23445,1.3685,1.0688,1.1069,0.0093813,0.0093813,0.0093813
27,1.4474,1.1436,1.1323,0.4864,0.38767,0.39596,0.23876,1.3656,1.0671,1.1032,0.0093565,0.0093565,0.0093565
28,1.4393,1.1391,1.1256,0.50494,0.38464,0.4023,0.24163,1.3641,1.0605,1.0974,0.0093317,0.0093317,0.0093317
