                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7944,                 4.5587,                 3.2197,                 0.3085,                0.03156,                0.01989,                0.00882,                    nan,                    nan,                    nan,              0.0033329,              0.0033329,              0.0033329
                      1,                 1.9833,                 3.5184,                 2.1725,                0.29646,                0.09876,                0.06809,                0.03699,                    nan,                    nan,                    nan,               0.006653,               0.006653,               0.006653
                      2,                   1.77,                 3.0736,                  1.901,                 0.2913,                0.15086,                0.11002,                0.06341,                    nan,                    nan,                    nan,                0.00996,                0.00996,                0.00996
                      3,                 1.6449,                 2.7629,                 1.7567,                0.33308,                0.19066,                0.15828,                0.09434,                    nan,                    nan,                    nan,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.5516,                 2.5229,                 1.6603,                0.33032,                0.21741,                 0.1864,                0.11294,                    nan,                    nan,                    nan,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4925,                 2.3736,                 1.6002,                0.36535,                0.23641,                0.21352,                0.13236,                    nan,                    nan,                    nan,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.4516,                 2.2616,                 1.5615,                0.39932,                0.25395,                0.23257,                0.14592,                    nan,                    nan,                    nan,               0.009901,               0.009901,               0.009901
                      7,                 1.4194,                 2.1771,                 1.5286,                 0.3816,                0.27338,                0.24903,                 0.1579,                    nan,                    nan,                    nan,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.3932,                 2.1038,                 1.5032,                 0.3928,                0.28087,                 0.2611,                0.16634,                    nan,                    nan,                    nan,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.3663,                 2.0462,                 1.4807,                0.40982,                0.28126,                0.27129,                0.17364,                    nan,                    nan,                    nan,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.3504,                 2.0017,                 1.4647,                0.42439,                0.28522,                0.28024,                0.17998,                    nan,                    nan,                    nan,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.3353,                 1.9613,                 1.4497,                0.43097,                0.29029,                0.28701,                0.18487,                    nan,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                     12,                 1.3195,                 1.9232,                 1.4367,                0.44936,                0.29589,                 0.2924,                0.18923,                    nan,                    nan,                    nan,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.3098,                 1.8844,                 1.4242,                0.44775,                0.30254,                0.29656,                0.19221,                    nan,                    nan,                    nan,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.2993,                 1.8631,                 1.4163,                0.45233,                0.30374,                0.30114,                0.19574,                    nan,                    nan,                    nan,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.2879,                 1.8279,                 1.4049,                0.45244,                 0.3078,                0.30444,                0.19851,                    nan,                    nan,                    nan,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.2793,                 1.8047,                 1.3967,                0.45198,                0.31062,                0.30779,                0.20119,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                     17,                 1.2722,                 1.7857,                 1.3875,                0.45141,                0.31482,                0.31061,                0.20362,                    nan,                    nan,                    nan,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.2633,                 1.7664,                 1.3813,                0.44306,                0.31749,                0.31376,                 0.2056,                    nan,                    nan,                    nan,              0.0096634,              0.0096634,              0.0096634
